@relation processed

@attribute sip numeric
@attribute sport numeric
@attribute dip numeric
@attribute dport numeric
@attribute protocal numeric
@attribute interval1 numeric
@attribute interval2 numeric
@attribute interval3 numeric
@attribute interval4 numeric
@attribute interval5 numeric
@attribute interval6 numeric
@attribute interval7 numeric
@attribute interval8 numeric
@attribute interval9 numeric
@attribute packet_len1 numeric
@attribute packet_len2 numeric
@attribute packet_len3 numeric
@attribute packet_len4 numeric
@attribute packet_len5 numeric
@attribute packet_len6 numeric
@attribute packet_len7 numeric
@attribute packet_len8 numeric
@attribute packet_len9 numeric
@attribute packet_len10 numeric
@attribute payload_len1 numeric
@attribute payload_len2 numeric
@attribute payload_len3 numeric
@attribute payload_len4 numeric
@attribute payload_len5 numeric
@attribute payload_len6 numeric
@attribute payload_len7 numeric
@attribute payload_len8 numeric
@attribute payload_len9 numeric
@attribute payload_len10 numeric

@data
1600000,53954,859136,80,6,0.007421,3.5e-05,0.000161,0.007744,0.031705,0.000102,1.8e-05,6.4e-05,0.106635,66,66,54,923,60,1494,1274,54,444,200,0,0,0,869,0,1440,1220,0,390,146
1600000,53961,769024,80,6,0.00267,4.2e-05,8.8e-05,0.002731,0.00023,0.000528,2.3e-05,0.000102,0.000122,66,60,54,515,60,358,1494,54,1494,1494,0,0,0,461,0,304,1440,0,1440,1440
1600000,53971,859136,80,6,0.007413,5e-05,9e-05,0.007315,0.003635,0.000121,2.3e-05,0.000101,0.000121,66,66,54,297,60,1494,1494,54,1494,1494,0,0,0,243,0,1440,1440,0,1440,1440
1600000,53969,1441280,80,6,0.010002,7.3e-05,0.000154,0.009507,0.000547,0.000121,1.6e-05,0.009542,0.204532,66,60,54,485,60,1494,1494,54,978,54,0,0,0,431,0,1440,1440,0,924,0
1600000,53927,898560,443,6,0.087698,8.1e-05,0.001768,0.088892,0.329547,5.4e-05,0.129533,0.000121,0.000159,66,66,54,269,60,1061,66,1484,66,1484,0,0,0,215,0,1007,0,1430,0,1430
1600000,53953,813568,80,6,0.053807,4.7e-05,0.561758,0.052523,0.08244,0.000159,5.9e-05,0.000121,4.6e-05,66,66,54,1080,60,1494,1420,54,60,54,0,0,0,1026,0,1440,1366,0,0,0
1600000,53929,1443840,80,6,0.00922,5.7e-05,0.242753,0.009409,0.00078,3.7e-05,1.9e-05,0.394624,0.018291,66,60,54,513,60,1494,221,54,492,531,0,0,0,459,0,1440,167,0,438,477
1600000,53944,1443328,80,6,0.009605,5.2e-05,0.204457,0.010084,0.000106,0.000122,1.9e-05,6.6e-05,0.199735,66,60,54,511,60,1494,1494,54,274,54,0,0,0,457,0,1440,1440,0,220,0
1600000,53948,750080,80,6,0.043397,2.8e-05,0.899712,0.05231,0.026014,8.8e-05,1.7e-05,5.7e-05,1.4e-05,62,62,54,1019,60,277,350,54,60,54,0,0,0,965,0,223,296,0,0,0
1600000,54013,813568,80,6,0.060671,9.9e-05,0.000387,0.061573,0.074134,0.00029,4.5e-05,8.3e-05,2.9e-05,66,66,54,1232,60,348,1494,54,1049,54,0,0,0,1178,0,294,1440,0,995,0
