@relation 'processed-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last'

@attribute 0.333payload_len7+0.332packet_len7-0.307dip+0.295payload_len6+0.293packet_len6... {'\'(-inf--8.127401]\'','\'(-8.127401--6.927967]\'','\'(-6.927967--5.728533]\'','\'(-5.728533--4.5291]\'','\'(-4.5291--3.329666]\'','\'(-3.329666--2.130232]\'','\'(-2.130232--0.930798]\'','\'(-0.930798-0.268636]\'','\'(0.268636-1.46807]\'','\'(1.46807-inf)\''}
'\'(0.268636-1.46807]\'','\'(1.427766-2.29879]\'','\'(1.542335-2.243542]\'','\'(0.351197-1.020067]\'','\'(-0.153824-0.728282]\'','\'(-0.399814-0.511815]\'','\'(-0.387205-0.277208]\'','\'(-0.365835-0.346007]\'','\'(-0.780743--0.128751]\'','\'(0.637623-0.945229]\'','\'(0.109126-0.490972]\'',0
'\'(0.268636-1.46807]\'','\'(1.427766-2.29879]\'','\'(1.542335-2.243542]\'','\'(0.351197-1.020067]\'','\'(-0.153824-0.728282]\'','\'(-0.399814-0.511815]\'','\'(-0.387205-0.277208]\'','\'(-0.365835-0.346007]\'','\'(-0.780743--0.128751]\'','\'(0.637623-0.945229]\'','\'(0.109126-0.490972]\'',0
'\'(0.268636-1.46807]\'','\'(2.29879-3.169814]\'','\'(1.542335-2.243542]\'','\'(0.351197-1.020067]\'','\'(-0.153824-0.728282]\'','\'(-0.399814-0.511815]\'','\'(-0.387205-0.277208]\'','\'(-0.365835-0.346007]\'','\'(-0.780743--0.128751]\'','\'(0.637623-0.945229]\'','\'(0.109126-0.490972]\'',0
'\'(0.268636-1.46807]\'','\'(1.427766-2.29879]\'','\'(2.243542-2.944749]\'','\'(0.351197-1.020067]\'','\'(-0.153824-0.728282]\'','\'(-0.399814-0.511815]\'','\'(-0.387205-0.277208]\'','\'(-1.077678--0.365835]\'','\'(-0.780743--0.128751]\'','\'(0.330018-0.637623]\'','\'(0.109126-0.490972]\'',0
'\'(0.268636-1.46807]\'','\'(2.29879-3.169814]\'','\'(2.243542-2.944749]\'','\'(0.351197-1.020067]\'','\'(-0.153824-0.728282]\'','\'(-0.399814-0.511815]\'','\'(-0.387205-0.277208]\'','\'(-1.077678--0.365835]\'','\'(-0.128751-0.52324]\'','\'(0.637623-0.945229]\'','\'(0.109126-0.490972]\'',0
'\'(0.268636-1.46807]\'','\'(1.427766-2.29879]\'','\'(1.542335-2.243542]\'','\'(0.351197-1.020067]\'','\'(-0.153824-0.728282]\'','\'(-1.311444--0.399814]\'','\'(-1.051618--0.387205]\'','\'(-0.365835-0.346007]\'','\'(-0.128751-0.52324]\'','\'(-inf--1.208009]\'','\'(-0.654567--0.272721]\'',0
'\'(0.268636-1.46807]\'','\'(1.427766-2.29879]\'','\'(1.542335-2.243542]\'','\'(0.351197-1.020067]\'','\'(-0.153824-0.728282]\'','\'(-0.399814-0.511815]\'','\'(-0.387205-0.277208]\'','\'(-0.365835-0.346007]\'','\'(-0.780743--0.128751]\'','\'(0.022413-0.330018]\'','\'(0.109126-0.490972]\'',0
'\'(0.268636-1.46807]\'','\'(1.427766-2.29879]\'','\'(1.542335-2.243542]\'','\'(0.351197-1.020067]\'','\'(-0.153824-0.728282]\'','\'(-0.399814-0.511815]\'','\'(-0.387205-0.277208]\'','\'(-0.365835-0.346007]\'','\'(-0.128751-0.52324]\'','\'(-0.285193-0.022413]\'','\'(-0.272721-0.109126]\'',0
'\'(-4.5291--3.329666]\'','\'(-inf--2.05633]\'','\'(2.944749-inf)\'','\'(-0.986542--0.317672]\'','\'(-2.800142--1.918036]\'','\'(3.246703-inf)\'','\'(0.277208-0.941621]\'','\'(-1.077678--0.365835]\'','\'(-0.128751-0.52324]\'','\'(-inf--1.208009]\'','\'(0.490972-0.872818]\'',0
'\'(1.46807-inf)\'','\'(-inf--2.05633]\'','\'(0.13992-0.841127]\'','\'(-1.655412--0.986542]\'','\'(-0.153824-0.728282]\'','\'(-0.399814-0.511815]\'','\'(-0.387205-0.277208]\'','\'(-0.365835-0.346007]\'','\'(-0.780743--0.128751]\'','\'(0.945229-1.252834]\'','\'(-0.654567--0.272721]\'',0
'\'(1.46807-inf)\'','\'(-inf--2.05633]\'','\'(-0.561287-0.13992]\'','\'(-1.655412--0.986542]\'','\'(-0.153824-0.728282]\'','\'(-0.399814-0.511815]\'','\'(-0.387205-0.277208]\'','\'(-0.365835-0.346007]\'','\'(-0.780743--0.128751]\'','\'(-0.285193-0.022413]\'','\'(-1.036413--0.654567]\'',0
'\'(1.46807-inf)\'','\'(-inf--2.05633]\'','\'(-0.561287-0.13992]\'','\'(-1.655412--0.986542]\'','\'(-0.153824-0.728282]\'','\'(-0.399814-0.511815]\'','\'(-0.387205-0.277208]\'','\'(-0.365835-0.346007]\'','\'(-0.780743--0.128751]\'','\'(0.945229-1.252834]\'','\'(-0.654567--0.272721]\'',0
'\'(1.46807-inf)\'','\'(-inf--2.05633]\'','\'(-0.561287-0.13992]\'','\'(-1.655412--0.986542]\'','\'(-0.153824-0.728282]\'','\'(-1.311444--0.399814]\'','\'(-1.051618--0.387205]\'','\'(-1.077678--0.365835]\'','\'(4.435191-inf)\'','\'(0.637623-0.945229]\'','\'(1.636511-inf)\'',0
'\'(1.46807-inf)\'','\'(-1.185306--0.314282]\'','\'(-1.963701--1.262494]\'','\'(-3.662022--2.993152]\'','\'(-0.153824-0.728282]\'','\'(0.511815-1.423445]\'','\'(-1.051618--0.387205]\'','\'(-0.365835-0.346007]\'','\'(-inf--0.780743]\'','\'(-1.208009--0.900404]\'','\'(0.872818-1.254664]\'',0
'\'(1.46807-inf)\'','\'(-inf--2.05633]\'','\'(-0.561287-0.13992]\'','\'(-1.655412--0.986542]\'','\'(-0.153824-0.728282]\'','\'(-1.311444--0.399814]\'','\'(-0.387205-0.277208]\'','\'(-0.365835-0.346007]\'','\'(-0.780743--0.128751]\'','\'(-0.592798--0.285193]\'','\'(-1.036413--0.654567]\'',0
'\'(1.46807-inf)\'','\'(-inf--2.05633]\'','\'(-0.561287-0.13992]\'','\'(-1.655412--0.986542]\'','\'(-0.153824-0.728282]\'','\'(-1.311444--0.399814]\'','\'(-0.387205-0.277208]\'','\'(-0.365835-0.346007]\'','\'(-0.780743--0.128751]\'','\'(-0.592798--0.285193]\'','\'(-1.036413--0.654567]\'',0
'\'(1.46807-inf)\'','\'(-inf--2.05633]\'','\'(0.13992-0.841127]\'','\'(-1.655412--0.986542]\'','\'(-0.153824-0.728282]\'','\'(-0.399814-0.511815]\'','\'(0.277208-0.941621]\'','\'(-0.365835-0.346007]\'','\'(-0.780743--0.128751]\'','\'(0.945229-1.252834]\'','\'(-0.272721-0.109126]\'',0
'\'(1.46807-inf)\'','\'(-inf--2.05633]\'','\'(-0.561287-0.13992]\'','\'(-1.655412--0.986542]\'','\'(-0.153824-0.728282]\'','\'(-1.311444--0.399814]\'','\'(-0.387205-0.277208]\'','\'(-0.365835-0.346007]\'','\'(-0.780743--0.128751]\'','\'(0.022413-0.330018]\'','\'(-0.654567--0.272721]\'',0
'\'(1.46807-inf)\'','\'(-inf--2.05633]\'','\'(-0.561287-0.13992]\'','\'(-1.655412--0.986542]\'','\'(-0.153824-0.728282]\'','\'(-1.311444--0.399814]\'','\'(-0.387205-0.277208]\'','\'(-0.365835-0.346007]\'','\'(-0.780743--0.128751]\'','\'(-0.285193-0.022413]\'','\'(-1.036413--0.654567]\'',0
